No of complete ,Year of Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
years between DOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and year of event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1,0.8,2.3,3.2,2.6,5.0,4.6,0.0,5.0,3.9,3.6,2.7,3.1,2.8,1.7,1.7,3.3,1.1,3.2,3.6,2.1,3.9,2.2,1.8,3.6,4.1,5.0,5.0,5.7,4.2,3.0
2,3.1,5.6,5.9,8.3,10.3,3.1,3.5,9.1,7.6,6.4,5.9,6.0,4.5,3.4,5.1,4.4,4.3,6.9,5.8,6.1,6.2,4.0,5.5,7.8,10.3,10.3,10.3,10.2,7.3,
3,6.4,8.3,11.8,13.3,8.9,8.3,7.6,13.0,10.5,9.7,8.8,7.8,6.3,6.8,6.2,7.8,8.1,9.2,9.9,8.4,8.1,7.8,9.8,15.8,15.8,15.8,15.8,13.6,,
4,9.2,14.4,17.0,11.7,14.4,12.5,11.4,16.1,14.0,12.8,10.7,9.6,9.8,8.0,9.6,11.7,10.4,13.4,12.3,10.4,12.0,12.2,21.6,21.6,21.6,21.6,21.6,,,
5,15.3,19.6,15.3,17.3,18.8,16.6,14.4,19.7,17.2,14.7,12.6,13.2,11.0,11.5,13.6,14.0,14.7,15.9,14.3,14.3,16.6,24.4,27.6,27.6,27.6,27.6,,,,
6,20.6,18.0,21.1,21.9,23.1,19.7,18.0,23.0,19.2,16.6,16.3,14.5,14.6,15.5,15.9,18.4,17.2,18.0,18.5,19.0,29.3,33.9,34.0,34.0,34.0,,,,,
7,18.9,23.9,25.8,26.3,26.4,23.4,21.3,25.1,21.2,20.5,17.6,18.1,18.7,17.9,20.5,21.1,19.3,22.2,23.3,32.0,39.1,40.7,40.7,40.7,,,,,,
8,24.9,28.7,30.3,29.7,30.3,26.9,23.4,27.2,25.2,21.8,21.3,22.4,21.2,22.5,23.1,23.2,23.6,27.3,36.8,42.0,47.0,47.5,47.8,,,,,,,
9,29.7,33.3,33.9,33.7,34.0,29.0,25.5,31.4,26.6,25.7,25.7,25.0,25.9,25.2,25.3,27.7,28.7,41.1,47.1,50.1,53.2,52.0,,,,,,,,
10,34.4,36.9,38.0,37.5,36.3,31.2,29.6,32.9,30.6,30.2,28.3,29.8,28.7,27.5,29.8,32.9,42.7,51.9,55.5,56.4,58.0,,,,,,,,,
11,38.0,41.2,41.9,39.8,38.6,35.6,31.0,37.1,35.3,33.0,33.4,32.7,31.0,32.0,35.2,47.4,53.5,60.5,62.1,61.3,,,,,,,,,,
12,42.3,45.1,44.3,42.2,43.2,37.1,35.2,42.1,38.2,38.2,36.3,35.1,35.7,37.5,49.9,58.6,62.3,67.3,67.1,,,,,,,,,,,
13,46.3,47.6,46.7,46.9,44.7,41.4,40.1,45.1,43.5,41.2,38.7,40.0,41.3,52.4,61.3,67.6,69.1,72.4,,,,,,,,,,,,
14,48.8,50.1,51.6,48.5,49.4,46.5,43.0,50.7,46.7,43.7,43.7,45.7,56.7,64.0,70.5,74.7,74.3,,,,,,,,,,,,,
15,51.3,55.1,53.2,53.2,54.7,49.6,48.6,54.0,49.3,48.9,49.6,61.6,68.6,73.4,77.6,80.1,,,,,,,,,,,,,,
16,56.3,56.8,58.1,58.8,58.0,55.4,51.9,56.8,54.7,55.0,65.9,73.9,78.2,80.7,83.2,,,,,,,,,,,,,,,
17,58.0,61.8,63.8,62.1,64.1,58.9,54.6,62.4,61.1,71.9,78.5,83.8,85.7,86.3,,,,,,,,,,,,,,,,
18,63.1,67.6,67.3,68.4,67.8,61.7,60.2,69.1,78.6,85.0,88.7,91.5,91.5,,,,,,,,,,,,,,,,,
19,68.9,71.1,73.8,72.1,70.8,67.5,66.7,87.5,92.2,95.5,96.6,97.4,,,,,,,,,,,,,,,,,,
20,72.5,77.8,77.6,75.2,76.9,74.4,84.9,101.8,103.1,103.7,102.7,,,,,,,,,,,,,,,,,,,
21,79.2,81.7,80.8,81.5,84.2,93.4,99.0,113.3,111.7,110.0,,,,,,,,,,,,,,,,,,,,
22,83.2,85.0,87.3,89.0,104.3,108.1,110.3,122.3,118.2,,,,,,,,,,,,,,,,,,,,,
23,86.5,91.6,95.0,109.6,119.8,120.0,119.1,129.1,,,,,,,,,,,,,,,,,,,,,,
24,93.2,99.5,116.3,125.5,132.3,129.2,125.9,,,,,,,,,,,,,,,,,,,,,,,
25,101.1,121.2,132.7,138.3,142.1,136.3,,,,,,,,,,,,,,,,,,,,,,,,
26,123.0,138.1,146.0,148.4,149.6,,,,,,,,,,,,,,,,,,,,,,,,,
27,140.0,151.6,156.3,156.1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,153.6,162.2,164.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,164.3,170.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
