,Year of Event,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No of complete years between DOL and year of event,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.0,2.5,2.5,2.2,2.5,1.2,0,,,,,,,,,,,,,,
2,,1.7,5.1,5.1,5,3.9,1.1,,,,,,,,,,,,,,
3,,,6.9,7.7,7.7,6.2,3.8,,,,,,,,,,,,,,
4,,,,9.3,10.4,10.4,6.1,,,,,,,,,,,,,,
5,,,,,12.2,13.1,11.6,,,,,,,,,,,,,,
6,,,,,,13.6,15.1,,,,,,,,,,,,,,
7,,,,,,,13.5,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,
