,,Year of Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No of complete years between DOL and year of event,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1,0.0,1.2,2.7,2.2,5.0,3.1,0.0,5.0,3.9,3.6,2.7,3.1,2.8,1.7,1.7,3.3,1.1,3.2,3.6,2.1,3.9,2.2,1.8,3.6,4.1,5.0,5.0,5.7,4.2,3.0
2,1.1,3.9,5.0,7.5,8.5,1.7,3.5,9.1,7.6,6.4,5.9,6.0,4.5,3.4,5.1,4.4,4.3,6.9,5.8,6.1,6.2,4.0,5.5,7.8,10.3,10.3,10.3,10.2,7.3,
3,3.8,6.2,10.4,10.8,6.9,6.7,7.6,13.0,10.5,9.7,8.8,7.8,6.3,6.8,6.2,7.8,8.1,9.2,9.9,8.4,8.1,7.8,9.8,15.8,15.8,15.8,15.8,13.6,,
4,6.1,11.7,13.8,9.3,12.3,10.9,11.4,16.1,14.0,12.8,10.7,9.6,9.8,8.0,9.6,11.7,10.4,13.4,12.3,10.4,12.0,12.2,21.6,21.6,21.6,21.6,21.6,,,
5,11.6,15.2,12.2,14.8,16.7,14.9,14.4,19.7,17.2,14.7,12.6,13.2,11.0,11.5,13.6,14.0,14.7,15.9,14.3,14.3,16.6,24.4,27.6,27.6,27.6,27.6,,,,
6,15.1,13.6,17.9,19.2,20.9,18.0,18.0,23.0,19.2,16.6,16.3,14.5,14.6,15.5,15.9,18.4,17.2,18.0,18.5,19.0,29.3,33.9,34.0,34.0,34.0,,,,,
7,13.5,19.3,22.5,23.5,24.1,21.7,21.3,25.1,21.2,20.5,17.6,18.1,18.7,17.9,20.5,21.1,19.3,22.2,23.3,32.0,39.1,40.7,40.7,40.7,,,,,,
8,19.2,23.9,26.9,26.9,28.0,25.1,23.4,27.2,25.2,21.8,21.3,22.4,21.2,22.5,23.1,23.2,23.6,27.3,36.8,42.0,47.0,47.5,47.8,,,,,,,
9,23.8,28.4,30.3,30.8,31.6,27.2,25.5,31.4,26.6,25.7,25.7,25.0,25.9,25.2,25.3,27.7,28.7,41.1,47.1,50.1,53.2,52.0,,,,,,,,
10,28.3,31.9,34.3,34.5,33.8,29.3,29.6,32.9,30.6,30.2,28.3,29.8,28.7,27.5,29.8,32.9,42.7,51.9,55.5,56.4,58.0,,,,,,,,,
11,31.7,35.9,38.1,36.7,36.1,33.6,31.0,37.1,35.3,33.0,33.4,32.7,31.0,32.0,35.2,47.4,53.5,60.5,62.1,61.3,,,,,,,,,,
12,35.8,39.7,40.4,39.1,40.6,35.1,35.2,42.1,38.2,38.2,36.3,35.1,35.7,37.5,49.9,58.6,62.3,67.3,67.1,,,,,,,,,,,
13,39.6,42.1,42.8,43.7,42.1,39.4,40.1,45.1,43.5,41.2,38.7,40.0,41.3,52.4,61.3,67.6,69.1,72.4,,,,,,,,,,,,
14,42.0,44.5,47.5,45.2,46.7,44.4,43.0,50.7,46.7,43.7,43.7,45.7,56.7,64.0,70.5,74.7,74.3,,,,,,,,,,,,,
15,44.4,49.3,49.2,49.9,51.9,47.5,48.6,54.0,49.3,48.9,49.6,61.6,68.6,73.4,77.6,80.1,,,,,,,,,,,,,,
16,49.2,51.0,53.9,55.3,55.1,53.2,51.9,56.8,54.7,55.0,65.9,73.9,78.2,80.7,83.2,,,,,,,,,,,,,,,
17,50.8,55.8,59.5,58.5,61.2,56.6,54.6,62.4,61.1,71.9,78.5,83.8,85.7,86.3,,,,,,,,,,,,,,,,
18,55.6,61.4,62.8,64.7,64.7,59.4,60.2,69.1,78.6,85.0,88.7,91.5,91.5,,,,,,,,,,,,,,,,,
19,61.2,64.8,69.2,68.4,67.7,65.1,66.7,87.5,92.2,95.5,96.6,97.4,,,,,,,,,,,,,,,,,,
20,64.6,71.2,72.9,71.4,73.7,71.9,84.9,101.8,103.1,103.7,102.7,,,,,,,,,,,,,,,,,,,
21,71.0,75.0,76.0,77.6,80.9,90.7,99.0,113.3,111.7,110.0,,,,,,,,,,,,,,,,,,,,
22,74.8,78.1,82.3,84.8,100.6,105.1,110.3,122.3,118.2,,,,,,,,,,,,,,,,,,,,,
23,77.9,84.5,89.8,105.0,115.8,116.8,119.1,129.1,,,,,,,,,,,,,,,,,,,,,,
24,84.3,92.1,110.5,120.6,128.1,125.9,125.9,,,,,,,,,,,,,,,,,,,,,,,
25,91.9,113.0,126.5,133.1,137.7,132.9,,,,,,,,,,,,,,,,,,,,,,,,
26,112.8,129.2,139.4,142.9,145.1,,,,,,,,,,,,,,,,,,,,,,,,,
27,129.0,142.3,149.5,150.4,,,,,,,,,,,,,,,,,,,,,,,,,,
28,142.1,152.5,157.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,152.2,160.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
