,Tax Year Of Termination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Year of Earnings,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1978,13.3,35.6,61.9,78.3,92.0,107.4,121.0,140.7,158.6,181.2,211.5,233.4,267.1,291.0,310.4,323.1,341.9,354.4,377.0,399.0,419.5,453.8,475.9,500.7,522.3,545.9,572.4,595.3,623.8,654.2,677.6,686.9,705.0,719.5,734.2,741.7,754.4,771.5,,,,,,,,,,,,,
1979,,19.7,42.9,57.3,69.4,83.0,95.0,112.3,128.1,148.1,174.9,194.0,223.8,244.8,262.0,273.1,289.7,300.7,320.7,340.0,358.2,388.7,408.3,430.2,449.2,470.1,493.5,513.7,538.8,565.7,586.3,594.5,610.5,623.3,636.3,642.9,654.1,669.2,,,,,,,,,,,,,
1980,,,19.4,31.5,41.6,52.9,62.9,77.4,90.6,107.3,129.7,145.8,170.6,188.2,202.5,211.9,225.7,235.0,251.6,267.8,283.0,308.3,324.6,342.9,358.8,376.3,395.8,412.7,433.7,456.1,473.3,480.2,493.6,504.3,515.1,520.7,530.0,542.6,,,,,,,,,,,,,
1981,,,,10.1,18.5,28.0,36.4,48.5,59.6,73.6,92.3,106.1,126.9,141.6,153.7,161.5,173.1,180.9,194.8,208.4,221.1,242.0,255.6,270.9,284.3,298.9,315.3,329.4,347.0,365.7,380.2,385.9,397.1,406.1,415.2,419.8,427.6,438.2,,,,,,,,,,,,,
1982,,,,,7.7,16.3,23.9,35.0,45.0,57.7,74.7,87.0,105.9,119.3,130.2,137.3,147.9,154.9,167.6,179.9,191.4,210.6,223.0,236.9,249.0,262.3,277.2,290.0,306.0,323.0,336.1,341.4,351.5,359.6,367.9,372.1,379.2,388.8,,,,,,,,,,,,,
1983,,,,,,8.0,15.1,25.3,34.7,46.4,62.3,73.4,90.9,103.3,113.4,120.0,129.8,136.3,148.0,159.4,170.1,188.4,199.9,212.8,224.1,236.4,250.2,262.1,276.9,292.8,305.0,309.8,319.2,326.8,334.5,338.4,345.0,353.9,,,,,,,,,,,,,
1984,,,,,,,6.6,16.1,24.7,35.6,50.2,60.5,76.7,88.2,97.6,103.7,112.7,118.7,129.6,140.2,150.1,167.0,177.7,189.7,200.1,211.5,224.3,235.3,249.0,263.7,275.0,279.5,288.2,295.2,302.3,305.9,312.0,320.2,,,,,,,,,,,,,
1985,,,,,,,,8.9,17.0,27.2,41.0,50.6,65.8,76.6,85.4,91.1,99.6,105.2,115.5,125.4,134.7,150.5,160.5,171.7,181.5,192.2,204.2,214.5,227.4,241.2,251.7,256.0,264.2,270.7,277.4,280.8,286.5,294.2,,,,,,,,,,,,,
1986,,,,,,,,,7.4,16.8,29.4,38.3,52.3,62.2,70.3,75.6,83.4,88.5,97.9,107.0,115.6,130.0,139.2,149.5,158.5,168.3,179.3,188.8,200.7,213.3,223.0,226.9,234.4,240.4,246.5,249.7,254.9,262.0,,,,,,,,,,,,,
1987,,,,,,,,,,8.7,20.5,28.9,41.9,51.1,58.6,63.5,70.8,75.6,84.4,92.9,100.8,114.2,122.7,132.3,140.7,149.8,160.1,168.9,179.9,191.7,200.7,204.3,211.3,217.0,222.7,225.6,230.4,237.1,,,,,,,,,,,,,
