No of complete years between DOL and year of event,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,4.00,5.00,5.00,4.50,3.00,1.90,2.90,3.20,2.50,3.60,2.80,1.80,2.90,0.70,2.90,2.80,3.50,2.20,3.80,3.50,0.90,0.00,0.00,0.00,0.00,0.00,0.00,
2,,9.20,10.30,9.80,7.70,5.00,4.90,6.20,5.80,6.20,6.60,4.70,4.80,3.70,3.70,5.80,6.40,5.80,6.10,7.50,4.50,0.90,0.00,0.00,0.00,0.00,0.00,
3,,,14.70,15.30,13.10,9.70,8.10,8.30,8.90,9.60,9.20,8.50,7.70,5.50,6.70,6.60,9.50,8.80,9.80,9.80,8.40,4.50,0.90,0.00,0.00,0.00,0.00,
4,,,,19.90,18.70,15.20,12.90,11.50,11.00,12.80,12.70,11.20,11.60,8.50,8.60,9.70,10.30,11.90,12.90,13.70,10.80,8.40,4.50,0.90,0.00,0.00,0.00,
5,,,,,23.50,21.00,18.60,16.50,14.30,15.00,16.00,14.70,14.40,12.40,11.60,11.60,13.50,12.70,16.20,16.90,14.70,10.80,8.40,4.50,0.90,0.00,0.00,
6,,,,,,25.80,24.50,22.30,19.40,18.40,18.20,18.10,18.10,15.20,15.70,14.80,15.50,16.00,17.00,20.30,17.90,14.70,10.80,8.40,4.50,0.90,0.00,
7,,,,,,,29.50,28.50,25.40,23.70,21.70,20.30,21.50,18.90,18.50,18.90,18.80,18.10,20.40,21.10,21.30,17.90,14.70,10.80,8.40,4.50,0.90,
8,,,,,,,,33.60,31.70,29.90,27.20,23.90,23.80,22.30,22.30,21.90,23.00,21.40,22.60,24.60,22.20,21.30,17.90,14.70,10.80,8.40,4.50,
9,,,,,,,,,36.90,36.40,33.60,29.50,27.50,24.70,25.90,25.80,26.10,25.80,26.00,26.90,25.70,22.20,21.30,17.90,14.70,10.80,8.40,
10,,,,,,,,,,41.90,40.20,36.00,33.20,28.40,28.30,29.40,30.20,28.90,30.50,30.40,28.00,25.70,22.20,21.30,17.90,14.70,10.80,
11,,,,,,,,,,,45.80,42.80,39.90,34.20,32.10,31.90,33.90,33.00,33.80,35.10,31.60,28.00,25.70,22.20,21.30,17.90,14.70,
12,,,,,,,,,,,,48.50,46.90,40.90,38.10,35.80,36.50,36.90,38.10,38.50,36.30,31.60,28.00,25.70,22.20,21.30,17.90,
13,,,,,,,,,,,,,52.80,47.90,45.00,41.90,40.60,39.50,42.10,42.90,39.70,36.30,31.60,28.00,25.70,22.20,21.30,
14,,,,,,,,,,,,,,53.80,52.20,49.00,46.90,43.70,44.80,47.00,44.20,39.70,36.30,31.60,28.00,25.70,22.10,
15,,,,,,,,,,,,,,,58.30,56.50,54.20,50.10,49.10,49.80,48.40,44.20,39.70,36.30,31.60,28.00,25.70,
16,,,,,,,,,,,,,,,,62.70,61.90,57.60,55.80,54.30,51.20,48.40,44.20,39.70,36.30,31.60,25.00,
17,,,,,,,,,,,,,,,,,68.40,65.50,63.60,61.30,55.70,51.20,48.40,44.20,39.70,36.30,31.60,
18,,,,,,,,,,,,,,,,,,72.10,71.80,69.30,62.70,55.70,51.20,48.40,44.20,39.70,36.30,
19,,,,,,,,,,,,,,,,,,,78.70,77.80,70.90,62.70,55.70,51.20,48.40,44.20,39.70,
20,,,,,,,,,,,,,,,,,,,,84.90,79.40,70.90,62.70,55.70,51.20,48.40,44.20,
21,,,,,,,,,,,,,,,,,,,,,86.60,79.40,70.90,62.70,55.70,51.20,48.40,
22,,,,,,,,,,,,,,,,,,,,,,86.60,79.40,70.90,62.70,55.70,51.20,
23,,,,,,,,,,,,,,,,,,,,,,,86.60,79.40,70.90,62.70,55.70,
24,,,,,,,,,,,,,,,,,,,,,,,,86.60,79.40,70.90,62.70,
25,,,,,,,,,,,,,,,,,,,,,,,,,86.60,79.40,70.90,
26,,,,,,,,,,,,,,,,,,,,,,,,,,86.60,79.40,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,86.60,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
